id,imdb_score_binned
1,-1
2,3
3,3
4,3
5,2
6,3
7,4
8,3
9,2
10,2
11,3
12,3
13,1
14,2
15,3
16,3
17,3
18,2
19,3
20,2
21,3
22,2
23,3
24,3
25,2
26,2
27,3
28,2
29,3
30,3
31,3
32,3
33,2
34,2
35,3
36,3
37,3
38,3
39,3
40,3
41,4
42,2
43,3
44,2
45,3
46,3
47,2
48,2
49,2
50,3
51,4
52,1
53,3
54,2
55,1
56,4
57,3
58,3
59,2
60,2
61,3
62,2
63,1
64,3
65,3
66,3
67,2
68,3
69,2
70,2
71,3
72,3
73,3
74,3
75,3
76,4
77,3
78,3
79,2
80,3
81,2
82,1
83,1
84,1
85,2
86,3
87,2
88,3
89,3
90,3
91,3
92,3
93,2
94,3
95,3
96,3
97,3
98,3
99,2
100,3
101,4
102,3
103,3
104,2
105,-1
106,3
107,2
108,2
109,3
110,3
111,2
112,3
113,3
114,3
115,3
116,3
117,2
118,3
119,2
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,4
133,2
134,3
135,3
136,3
137,2
138,3
139,2
140,4
141,3
142,4
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,2
152,3
153,1
154,3
155,3
156,3
157,2
158,3
159,3
160,2
161,2
162,3
163,4
164,3
165,3
166,3
167,2
168,3
169,2
170,3
171,1
172,3
173,3
174,3
175,2
176,3
177,2
178,3
179,3
180,3
181,-1
182,
183,3
184,4
185,3
186,3
187,3
188,3
189,3
190,3
191,2
192,3
193,3
194,2
195,3
196,3
197,3
198,3
199,3
200,-1
201,3
202,3
203,3
204,3
205,2
206,3
207,3
208,2
209,3
210,2
211,3
212,3
213,4
214,3
215,3
216,3
217,3
218,2
219,3
220,1
221,2
222,3
223,3
224,3
225,3
226,3
227,2
228,2
229,3
230,2
231,-1
232,2
233,3
234,3
235,2
236,2
237,3
238,3
239,3
240,3
241,3
242,2
243,3
244,2
245,3
246,1
247,2
248,3
249,3
250,3
251,3
252,3
253,4
254,2
255,3
256,3
257,2
258,3
259,2
260,3
261,3
262,3
263,3
264,3
265,-1
266,3
267,3
268,3
269,2
270,3
271,3
272,2
273,3
274,2
275,2
276,-1
277,4
278,3
279,2
280,2
281,3
282,-1
283,3
